[2025/08/31 15:49:10] User: user user, Action: created, Model: Admin, Model ID: 51, Description: ادمین user user ایجاد شد.
[2025/08/31 15:51:34] User: user user, Action: login, Model: Admin, Model ID: 51, Description: ادمین user user وارد شد.
[2025/08/31 15:52:15] User: user user, Action: logout, Model: Admin, Model ID: 51, Description: ادمین user user خارج شد.
[2025/08/31 15:52:55] User: user user, Action: login, Model: Admin, Model ID: 51, Description: ادمین user user وارد شد.
[2025/08/31 15:53:11] User: user user, Action: logout, Model: Admin, Model ID: 51, Description: ادمین user user خارج شد.
[2025/08/31 15:53:29] User: user user, Action: login, Model: Admin, Model ID: 51, Description: ادمین user user وارد شد.
[2025/08/31 15:59:44] User: user user, Action: logout, Model: Admin, Model ID: 51, Description: ادمین user user خارج شد.
[2025/08/31 15:59:51] User: user user, Action: login, Model: Admin, Model ID: 51, Description: ادمین user user وارد شد.
[2025/08/31 16:00:04] User: user user, Action: logout, Model: Admin, Model ID: 51, Description: ادمین user user خارج شد.
[2025/08/31 16:00:14] User: user user, Action: login, Model: Admin, Model ID: 51, Description: ادمین user user وارد شد.
[2025/08/31 16:00:27] User: user user, Action: logout, Model: Admin, Model ID: 51, Description: ادمین user user خارج شد.
